cart_items_id,Created_at,Quantity,Deal_ID,Mockup_ID,Mockup_version,Sock_unit_price,Pkg_unit_price,Product_ID,Unit_price,Cart_total,Created_on
68849,2023-01-01T21:40:49.192Z,,,,,,$1.00,,,180.0,2023-01-01
68848,2023-01-01T21:40:49.178Z,180.0,,133806.0,3.0,$11.12,,,,180.0,2023-01-01
68878,2023-01-03T18:08:48.367Z,1600.0,,130725.0,1.0,$5.68,,,,2000.0,2023-01-03
68879,2023-01-03T18:37:22.407Z,,,,,,$1.00,,,200.0,2023-01-03
68927,2023-01-03T22:10:37.877Z,,,,,,$1.00,,,120.0,2023-01-03
68851,2023-01-03T07:15:53.088Z,,,,,,$1.00,,,190.0,2023-01-03
68919,2023-01-03T21:31:13.892Z,,,,,,$0.55,,,350.0,2023-01-03
68850,2023-01-03T07:15:53.072Z,190.0,,76984.0,1.0,$8.00,,,,190.0,2023-01-03
68947,2023-01-03T22:36:18.358Z,250.0,,134141.0,2.0,$10.21,,,,250.0,2023-01-03
68937,2023-01-03T22:20:48.529Z,120.0,,133911.0,2.0,$11.98,,,,120.0,2023-01-03
68856,2023-01-03T15:57:11.101Z,,,,,,$1.00,,,200.0,2023-01-03
68857,2023-01-03T15:57:11.117Z,200.0,,133055.0,1.0,$11.42,,,,200.0,2023-01-03
68883,2023-01-03T19:17:59.807Z,500.0,,133873.0,1.0,$6.81,,,,500.0,2023-01-03
68939,2023-01-03T22:24:33.665Z,60.0,,63832.0,2.0,$14.24,,,,60.0,2023-01-03
68853,2023-01-03T15:07:13.500Z,200.0,,133673.0,2.0,$7.78,,,,200.0,2023-01-03
68855,2023-01-03T15:51:52.351Z,,,,,,$0.70,,,240.0,2023-01-03
68873,2023-01-03T17:09:01.445Z,,,,,,$0.70,,,150.0,2023-01-03
68940,2023-01-03T22:24:33.678Z,,,,,,$1.50,,,60.0,2023-01-03
68854,2023-01-03T15:51:52.335Z,240.0,,133240.0,4.0,$10.51,,,,240.0,2023-01-03
68852,2023-01-03T15:07:13.483Z,,,,,,,,,200.0,2023-01-03
68941,2023-01-03T22:27:37.856Z,1.0,,130785.0,1.0,$75.00,,,,2.0,2023-01-03
68858,2023-01-03T16:20:51.372Z,,,,,,,,,60.0,2023-01-03
68874,2023-01-03T17:32:57.231Z,,,,,,$1.50,,,60.0,2023-01-03
68945,2023-01-03T22:36:14.357Z,90.0,,133380.0,3.0,$9.97,,,,90.0,2023-01-03
68877,2023-01-03T18:07:20.440Z,400.0,,130725.0,1.0,$5.68,,,,2000.0,2023-01-03
68861,2023-01-03T16:29:56.254Z,300.0,,133859.0,2.0,$7.36,,,,300.0,2023-01-03
68956,2023-01-03T23:00:01.826Z,80.0,,134471.0,1.0,$9.97,,,,80.0,2023-01-03
68895,2023-01-03T20:01:54.022Z,,,,,,$1.00,,,144.0,2023-01-03
68884,2023-01-03T19:17:59.823Z,,,,,,$0.41,,,500.0,2023-01-03
68916,2023-01-03T20:47:38.100Z,125.0,,134408.0,1.0,$8.38,,,,125.0,2023-01-03
68896,2023-01-03T20:01:54.052Z,144.0,,127205.0,4.0,$8.00,,,,144.0,2023-01-03
68864,2023-01-03T16:38:55.916Z,150.0,,131317.0,2.0,$8.08,,,,250.0,2023-01-03
68943,2023-01-03T22:35:41.719Z,250.0,,134140.0,2.0,$10.21,,,,250.0,2023-01-03
68871,2023-01-03T16:58:36.257Z,120.0,,78346.0,1.0,$8.00,,,,120.0,2023-01-03
68897,2023-01-03T20:13:05.167Z,,,,,,$0.55,,,400.0,2023-01-03
68898,2023-01-03T20:13:05.184Z,400.0,,69873.0,3.0,$6.98,,,,400.0,2023-01-03
68905,2023-01-03T20:25:23.821Z,,,,,,,,,60.0,2023-01-03
68962,2023-01-03T23:44:53.738Z,,,,,,,,,365.0,2023-01-03
68929,2023-01-03T22:14:17.771Z,2.0,,133833.0,1.0,$75.00,,,,2.0,2023-01-03
68900,2023-01-03T20:16:46.798Z,,,,,,$1.50,,,100.0,2023-01-03
68955,2023-01-03T22:54:33.780Z,2560.0,,107583.0,2.0,$5.51,,,,2560.0,2023-01-03
68899,2023-01-03T20:16:46.783Z,100.0,,82074.0,1.0,$14.24,,,,100.0,2023-01-03
68860,2023-01-03T16:29:56.232Z,,,,,,,,,300.0,2023-01-03
68865,2023-01-03T16:43:04.279Z,100.0,,131317.0,2.0,$8.08,,,,250.0,2023-01-03
68960,2023-01-03T23:42:21.104Z,,,,,,$0.41,,,250.0,2023-01-03
68954,2023-01-03T22:54:33.766Z,,,,,,$0.22,,,2560.0,2023-01-03
68923,2023-01-03T22:07:04.176Z,,,,,,$1.00,,,150.0,2023-01-03
68917,2023-01-03T20:48:45.575Z,500.0,,133258.0,1.0,$9.73,,,,500.0,2023-01-03
68959,2023-01-03T23:28:20.717Z,60.0,,134455.0,1.0,$9.97,,,,60.0,2023-01-03
68901,2023-01-03T20:22:54.500Z,,,,,,$0.55,,,200.0,2023-01-03
68903,2023-01-03T20:23:01.184Z,,,,,,$0.55,,,200.0,2023-01-03
68902,2023-01-03T20:22:54.516Z,200.0,,70058.0,1.0,$8.00,,,,200.0,2023-01-03
68904,2023-01-03T20:23:01.200Z,200.0,,70060.0,1.0,$8.00,,,,200.0,2023-01-03
68862,2023-01-03T16:36:47.091Z,,,,,,$0.70,,,250.0,2023-01-03
68961,2023-01-03T23:42:30.500Z,,,,,,$0.41,,,250.0,2023-01-03
68928,2023-01-03T22:14:17.757Z,,,,,,$0.00,,,2.0,2023-01-03
68924,2023-01-03T22:09:56.949Z,60.0,,133787.0,1.0,$13.31,,,,60.0,2023-01-03
68875,2023-01-03T17:32:57.247Z,60.0,,133923.0,1.0,$9.76,,,,60.0,2023-01-03
68876,2023-01-03T18:07:20.423Z,,,,,,$0.34,,,2000.0,2023-01-03
68920,2023-01-03T21:31:13.907Z,350.0,,134149.0,1.0,$6.78,,,,350.0,2023-01-03
68869,2023-01-03T16:51:07.445Z,2.0,,130457.0,4.0,$75.00,,,,2.0,2023-01-03
68953,2023-01-03T22:54:19.576Z,,,,,,$12.50,,,2.0,2023-01-03
68908,2023-01-03T20:25:56.544Z,,,,,,,,,60.0,2023-01-03
68958,2023-01-03T23:28:20.703Z,,,,,,,,,60.0,2023-01-03
68909,2023-01-03T20:29:47.939Z,,,,,,,,,400.0,2023-01-03
68894,2023-01-03T20:00:41.865Z,120.0,,132893.0,3.0,$7.78,,,,120.0,2023-01-03
68910,2023-01-03T20:29:53.227Z,,,,,,,,,120.0,2023-01-03
68890,2023-01-03T19:57:34.336Z,400.0,,132961.0,1.0,$7.33,,,,400.0,2023-01-03
68867,2023-01-03T16:51:07.431Z,,,,,,$12.50,,,2.0,2023-01-03
68906,2023-01-03T20:25:23.829Z,60.0,,100077.0,5.0,$14.24,,,,60.0,2023-01-03
68907,2023-01-03T20:25:56.526Z,60.0,,107609.0,1.0,$14.24,,,,60.0,2023-01-03
68926,2023-01-03T22:10:37.861Z,120.0,,133788.0,1.0,$11.42,,,,120.0,2023-01-03
68925,2023-01-03T22:09:56.965Z,,,,,,$1.00,,,60.0,2023-01-03
68957,2023-01-03T23:00:01.847Z,,,,,,,,,80.0,2023-01-03
68963,2023-01-03T23:44:53.752Z,365.0,,92069.0,1.0,$6.98,,,,365.0,2023-01-03
68911,2023-01-03T20:35:16.318Z,,,,,,$0.70,,,300.0,2023-01-03
68912,2023-01-03T20:35:16.351Z,300.0,,108170.0,2.0,$7.36,,,,300.0,2023-01-03
68933,2023-01-03T22:14:27.776Z,2.0,,133157.0,5.0,$75.00,,,,2.0,2023-01-03
68880,2023-01-03T18:37:22.424Z,200.0,,131300.0,1.0,$11.42,,,,200.0,2023-01-03
68859,2023-01-03T16:20:51.389Z,60.0,,29990.0,1.0,$9.97,,,,60.0,2023-01-03
68934,2023-01-03T22:14:42.159Z,,,,,,$0.00,,,2.0,2023-01-03
68950,2023-01-03T22:39:10.776Z,,,,,,,,,90.0,2023-01-03
68870,2023-01-03T16:58:36.243Z,,,,,,$1.00,,,120.0,2023-01-03
68914,2023-01-03T20:42:31.281Z,120.0,,99546.0,1.0,$8.33,,,,120.0,2023-01-03
68872,2023-01-03T17:09:01.431Z,150.0,,133739.0,3.0,$11.42,,,,150.0,2023-01-03
68915,2023-01-03T20:47:38.084Z,,,,,,,,,125.0,2023-01-03
68935,2023-01-03T22:14:42.172Z,2.0,,133157.0,4.0,$75.00,,,,2.0,2023-01-03
