cart_items_id,Created_at,Quantity,Mockup_ID,Mockup_version,Sock_unit_price,Pkg_unit_price,Product_ID,Unit_price,Cart_total,Created_on
68849,2023-01-01 21:40:49.192000+00:00,,,,,1.0,,,180,2023-01-01
68848,2023-01-01 21:40:49.178000+00:00,180,133806,3,11.12,,,,180,2023-01-01
68878,2023-01-03 18:08:48.367000+00:00,1600,130725,1,5.68,,,,2000,2023-01-03
68879,2023-01-03 18:37:22.407000+00:00,,,,,1.0,,,200,2023-01-03
68927,2023-01-03 22:10:37.877000+00:00,,,,,1.0,,,120,2023-01-03
68851,2023-01-03 07:15:53.088000+00:00,,,,,1.0,,,190,2023-01-03
68919,2023-01-03 21:31:13.892000+00:00,,,,,0.55,,,350,2023-01-03
68850,2023-01-03 07:15:53.072000+00:00,190,76984,1,8.0,,,,190,2023-01-03
68947,2023-01-03 22:36:18.358000+00:00,250,134141,2,10.21,,,,250,2023-01-03
68937,2023-01-03 22:20:48.529000+00:00,120,133911,2,11.98,,,,120,2023-01-03
68856,2023-01-03 15:57:11.101000+00:00,,,,,1.0,,,200,2023-01-03
68857,2023-01-03 15:57:11.117000+00:00,200,133055,1,11.42,,,,200,2023-01-03
68883,2023-01-03 19:17:59.807000+00:00,500,133873,1,6.81,,,,500,2023-01-03
68939,2023-01-03 22:24:33.665000+00:00,60,63832,2,14.24,,,,60,2023-01-03
68853,2023-01-03 15:07:13.500000+00:00,200,133673,2,7.78,,,,200,2023-01-03
68855,2023-01-03 15:51:52.351000+00:00,,,,,0.7,,,240,2023-01-03
68873,2023-01-03 17:09:01.445000+00:00,,,,,0.7,,,150,2023-01-03
68940,2023-01-03 22:24:33.678000+00:00,,,,,1.5,,,60,2023-01-03
68854,2023-01-03 15:51:52.335000+00:00,240,133240,4,10.51,,,,240,2023-01-03
68852,2023-01-03 15:07:13.483000+00:00,,,,,,,,200,2023-01-03
68941,2023-01-03 22:27:37.856000+00:00,1,130785,1,75.0,,,,2,2023-01-03
68858,2023-01-03 16:20:51.372000+00:00,,,,,,,,60,2023-01-03
68874,2023-01-03 17:32:57.231000+00:00,,,,,1.5,,,60,2023-01-03
68945,2023-01-03 22:36:14.357000+00:00,90,133380,3,9.97,,,,90,2023-01-03
68877,2023-01-03 18:07:20.440000+00:00,400,130725,1,5.68,,,,2000,2023-01-03
68861,2023-01-03 16:29:56.254000+00:00,300,133859,2,7.36,,,,300,2023-01-03
68956,2023-01-03 23:00:01.826000+00:00,80,134471,1,9.97,,,,80,2023-01-03
68895,2023-01-03 20:01:54.022000+00:00,,,,,1.0,,,144,2023-01-03
68884,2023-01-03 19:17:59.823000+00:00,,,,,0.41,,,500,2023-01-03
68916,2023-01-03 20:47:38.100000+00:00,125,134408,1,8.38,,,,125,2023-01-03
68896,2023-01-03 20:01:54.052000+00:00,144,127205,4,8.0,,,,144,2023-01-03
68864,2023-01-03 16:38:55.916000+00:00,150,131317,2,8.08,,,,250,2023-01-03
68943,2023-01-03 22:35:41.719000+00:00,250,134140,2,10.21,,,,250,2023-01-03
68871,2023-01-03 16:58:36.257000+00:00,120,78346,1,8.0,,,,120,2023-01-03
68897,2023-01-03 20:13:05.167000+00:00,,,,,0.55,,,400,2023-01-03
68898,2023-01-03 20:13:05.184000+00:00,400,69873,3,6.98,,,,400,2023-01-03
68905,2023-01-03 20:25:23.821000+00:00,,,,,,,,60,2023-01-03
68962,2023-01-03 23:44:53.738000+00:00,,,,,,,,365,2023-01-03
68929,2023-01-03 22:14:17.771000+00:00,2,133833,1,75.0,,,,2,2023-01-03
68900,2023-01-03 20:16:46.798000+00:00,,,,,1.5,,,100,2023-01-03
68955,2023-01-03 22:54:33.780000+00:00,2560,107583,2,5.51,,,,2560,2023-01-03
68899,2023-01-03 20:16:46.783000+00:00,100,82074,1,14.24,,,,100,2023-01-03
68860,2023-01-03 16:29:56.232000+00:00,,,,,,,,300,2023-01-03
68865,2023-01-03 16:43:04.279000+00:00,100,131317,2,8.08,,,,250,2023-01-03
68960,2023-01-03 23:42:21.104000+00:00,,,,,0.41,,,250,2023-01-03
68954,2023-01-03 22:54:33.766000+00:00,,,,,0.22,,,2560,2023-01-03
68923,2023-01-03 22:07:04.176000+00:00,,,,,1.0,,,150,2023-01-03
68917,2023-01-03 20:48:45.575000+00:00,500,133258,1,9.73,,,,500,2023-01-03
68959,2023-01-03 23:28:20.717000+00:00,60,134455,1,9.97,,,,60,2023-01-03
68901,2023-01-03 20:22:54.500000+00:00,,,,,0.55,,,200,2023-01-03
68903,2023-01-03 20:23:01.184000+00:00,,,,,0.55,,,200,2023-01-03
68902,2023-01-03 20:22:54.516000+00:00,200,70058,1,8.0,,,,200,2023-01-03
68904,2023-01-03 20:23:01.200000+00:00,200,70060,1,8.0,,,,200,2023-01-03
68862,2023-01-03 16:36:47.091000+00:00,,,,,0.7,,,250,2023-01-03
68961,2023-01-03 23:42:30.500000+00:00,,,,,0.41,,,250,2023-01-03
68928,2023-01-03 22:14:17.757000+00:00,,,,,0.0,,,2,2023-01-03
68924,2023-01-03 22:09:56.949000+00:00,60,133787,1,13.31,,,,60,2023-01-03
68875,2023-01-03 17:32:57.247000+00:00,60,133923,1,9.76,,,,60,2023-01-03
68876,2023-01-03 18:07:20.423000+00:00,,,,,0.34,,,2000,2023-01-03
68920,2023-01-03 21:31:13.907000+00:00,350,134149,1,6.78,,,,350,2023-01-03
68869,2023-01-03 16:51:07.445000+00:00,2,130457,4,75.0,,,,2,2023-01-03
68953,2023-01-03 22:54:19.576000+00:00,,,,,12.5,,,2,2023-01-03
68908,2023-01-03 20:25:56.544000+00:00,,,,,,,,60,2023-01-03
68958,2023-01-03 23:28:20.703000+00:00,,,,,,,,60,2023-01-03
68909,2023-01-03 20:29:47.939000+00:00,,,,,,,,400,2023-01-03
68894,2023-01-03 20:00:41.865000+00:00,120,132893,3,7.78,,,,120,2023-01-03
68910,2023-01-03 20:29:53.227000+00:00,,,,,,,,120,2023-01-03
68890,2023-01-03 19:57:34.336000+00:00,400,132961,1,7.33,,,,400,2023-01-03
68867,2023-01-03 16:51:07.431000+00:00,,,,,12.5,,,2,2023-01-03
68906,2023-01-03 20:25:23.829000+00:00,60,100077,5,14.24,,,,60,2023-01-03
68907,2023-01-03 20:25:56.526000+00:00,60,107609,1,14.24,,,,60,2023-01-03
68926,2023-01-03 22:10:37.861000+00:00,120,133788,1,11.42,,,,120,2023-01-03
68925,2023-01-03 22:09:56.965000+00:00,,,,,1.0,,,60,2023-01-03
68957,2023-01-03 23:00:01.847000+00:00,,,,,,,,80,2023-01-03
68963,2023-01-03 23:44:53.752000+00:00,365,92069,1,6.98,,,,365,2023-01-03
68911,2023-01-03 20:35:16.318000+00:00,,,,,0.7,,,300,2023-01-03
68912,2023-01-03 20:35:16.351000+00:00,300,108170,2,7.36,,,,300,2023-01-03
68933,2023-01-03 22:14:27.776000+00:00,2,133157,5,75.0,,,,2,2023-01-03
68880,2023-01-03 18:37:22.424000+00:00,200,131300,1,11.42,,,,200,2023-01-03
68859,2023-01-03 16:20:51.389000+00:00,60,29990,1,9.97,,,,60,2023-01-03
68934,2023-01-03 22:14:42.159000+00:00,,,,,0.0,,,2,2023-01-03
68950,2023-01-03 22:39:10.776000+00:00,,,,,,,,90,2023-01-03
68870,2023-01-03 16:58:36.243000+00:00,,,,,1.0,,,120,2023-01-03
68914,2023-01-03 20:42:31.281000+00:00,120,99546,1,8.33,,,,120,2023-01-03
68872,2023-01-03 17:09:01.431000+00:00,150,133739,3,11.42,,,,150,2023-01-03
68915,2023-01-03 20:47:38.084000+00:00,,,,,,,,125,2023-01-03
68935,2023-01-03 22:14:42.172000+00:00,2,133157,4,75.0,,,,2,2023-01-03
68932,2023-01-03 22:14:27.761000+00:00,,,,,0.0,,,2,2023-01-03
68918,2023-01-03 20:48:45.593000+00:00,,,,,,,,500,2023-01-03
68922,2023-01-03 22:07:04.156000+00:00,150,134041,3,11.42,,,,150,2023-01-03
69104,2023-01-04 22:59:58.553000+00:00,,,,,12.5,,,2,2023-01-04
68978,2023-01-04 01:39:43.457000+00:00,60,33992,1,14.24,,,,60,2023-01-04
69057,2023-01-04 19:14:15.227000+00:00,,,,,,,,120,2023-01-04
68988,2023-01-04 08:14:01.046000+00:00,60,134292,1,14.24,,,,60,2023-01-04
69034,2023-01-04 18:05:59.786000+00:00,,,,,0.39,,,800,2023-01-04
69046,2023-01-04 18:34:31.559000+00:00,,,,,0.39,,,240,2023-01-04
69052,2023-01-04 18:47:34.762000+00:00,125,134567,1,8.38,,,,125,2023-01-04
69100,2023-01-04 21:56:57.800000+00:00,60,132192,6,14.24,,,,60,2023-01-04
69020,2023-01-04 17:20:38.501000+00:00,158,131811,2,8.0,,,,158,2023-01-04
69010,2023-01-04 16:43:38.067000+00:00,,,,,0.0,,,800,2023-01-04
69101,2023-01-04 21:56:57.816000+00:00,,,,,1.5,,,60,2023-01-04
69098,2023-01-04 21:50:35.193000+00:00,500,100873,1,9.73,,,,500,2023-01-04
69099,2023-01-04 21:50:35.210000+00:00,,,,,,,,500,2023-01-04
69009,2023-01-04 16:43:38.053000+00:00,800,130181,1,4.43,,,,800,2023-01-04
69097,2023-01-04 21:49:57.860000+00:00,5,134579,1,8.6,,,,208,2023-01-04
68976,2023-01-04 01:29:24.585000+00:00,60,33995,1,14.24,,,,60,2023-01-04
69068,2023-01-04 19:16:42.612000+00:00,200,134569,1,11.98,,,,200,2023-01-04
68974,2023-01-04 01:28:32.985000+00:00,120,84272,2,10.34,,,,120,2023-01-04
69058,2023-01-04 19:14:15.241000+00:00,120,77036,1,7.36,,,,120,2023-01-04
69077,2023-01-04 20:21:59.726000+00:00,75,101435,1,9.97,,,,75,2023-01-04
69051,2023-01-04 18:47:34.749000+00:00,,,,,1.0,,,125,2023-01-04
69074,2023-01-04 20:20:19.410000+00:00,,,,,1.0,,,120,2023-01-04
68997,2023-01-04 15:21:22.113000+00:00,60,128341,3,9.97,,,,60,2023-01-04
69073,2023-01-04 20:20:19.375000+00:00,120,134543,1,8.0,,,,120,2023-01-04
68996,2023-01-04 15:21:22.098000+00:00,,,,,,,,60,2023-01-04
69045,2023-01-04 18:34:31.542000+00:00,240,134445,1,7.36,,,,240,2023-01-04
69081,2023-01-04 20:27:21.143000+00:00,,,,,1.0,,,120,2023-01-04
69096,2023-01-04 21:47:56.860000+00:00,203,134579,1,8.6,,,,208,2023-01-04
69082,2023-01-04 20:27:21.157000+00:00,120,119505,1,8.0,,,,120,2023-01-04
69095,2023-01-04 21:47:56.845000+00:00,,,,,1.0,,,208,2023-01-04
69060,2023-01-04 19:14:24.951000+00:00,120,77046,2,7.36,,,,120,2023-01-04
68971,2023-01-04 00:51:05.480000+00:00,,,,,,,,120,2023-01-04
69036,2023-01-04 18:07:34.333000+00:00,,,,,,,,120,2023-01-04
69059,2023-01-04 19:14:24.939000+00:00,,,,,,,,120,2023-01-04
69042,2023-01-04 18:24:25.019000+00:00,120,47191,1,8.0,,,,120,2023-01-04
69035,2023-01-04 18:07:34.310000+00:00,120,119032,1,8.0,,,,120,2023-01-04
69041,2023-01-04 18:24:25.004000+00:00,,,,,1.0,,,120,2023-01-04
69064,2023-01-04 19:15:01.716000+00:00,120,134499,1,7.36,,,,120,2023-01-04
68998,2023-01-04 15:35:41.743000+00:00,,,,,1.0,,,120,2023-01-04
68968,2023-01-04 00:28:26.340000+00:00,,,,,12.5,,,2,2023-01-04
69023,2023-01-04 17:47:34.333000+00:00,,,,,,,,60,2023-01-04
68969,2023-01-04 00:28:26.354000+00:00,2,132882,1,75.0,,,,2,2023-01-04
68964,2023-01-04 00:02:22.104000+00:00,,,,,1.5,,,80,2023-01-04
69007,2023-01-04 16:36:44.879000+00:00,,,,,0.55,,,400,2023-01-04
68967,2023-01-04 00:10:59.375000+00:00,240,127520,4,10.51,,,,240,2023-01-04
68999,2023-01-04 15:35:41.758000+00:00,120,132510,1,11.42,,,,120,2023-01-04
69087,2023-01-04 20:39:07.840000+00:00,60,112333,3,14.84,,,,60,2023-01-04
69088,2023-01-04 20:39:07.857000+00:00,,,,,,,,60,2023-01-04
68994,2023-01-04 15:07:32.096000+00:00,176,134444,2,8.0,,,,176,2023-01-04
68995,2023-01-04 15:07:32.121000+00:00,,,,,1.0,,,176,2023-01-04
