mfg_products_ID,Mockup_ID,Created_at,Updated_at,Packaging_ID,Product_ID,Sock_pair_ID,Created_on,Mockup_version,Quantity,Product_info_ID
36734,,2023-01-02 21:05:25.023000+00:00,2023-01-02 21:05:25.418000+00:00,65927,,,2023-01-02,,500,35
36733,112571,2023-01-02 21:05:25.018000+00:00,2023-01-02 21:05:25.347000+00:00,,,,2023-01-02,4,500,2
36772,,2023-01-03 18:12:05.569000+00:00,2023-01-03 18:18:42.153000+00:00,70799,,,2023-01-03,,1600,35
36781,118940,2023-01-03 20:07:39.098000+00:00,2023-01-03 20:07:39.611000+00:00,,,,2023-01-03,1,60,114
36782,,2023-01-03 20:07:39.103000+00:00,2023-01-03 20:07:39.679000+00:00,68963,,,2023-01-03,,60,35
36737,134199,2023-01-03 13:00:47.185000+00:00,2023-01-03 13:00:47.507000+00:00,,,,2023-01-03,1,60,2
36735,76984,2023-01-03 07:21:33.011000+00:00,2023-01-03 07:21:33.320000+00:00,,,,2023-01-03,1,190,2
36736,,2023-01-03 07:21:33.017000+00:00,2023-01-03 07:21:33.402000+00:00,43553,,,2023-01-03,,190,35
36783,118455,2023-01-03 20:07:39.108000+00:00,2023-01-03 20:07:39.742000+00:00,,,,2023-01-03,1,60,2
36738,,2023-01-03 13:00:47.190000+00:00,2023-01-03 13:00:47.593000+00:00,70803,,,2023-01-03,,60,35
36739,133409,2023-01-03 13:54:52.795000+00:00,2023-01-03 13:54:53.157000+00:00,,,,2023-01-03,1,60,2
36740,,2023-01-03 13:54:52.799000+00:00,2023-01-03 13:54:53.227000+00:00,30238,,,2023-01-03,,60,35
36741,134201,2023-01-03 14:14:42.871000+00:00,2023-01-03 14:14:43.241000+00:00,,,,2023-01-03,1,188,2
36742,,2023-01-03 14:14:42.884000+00:00,2023-01-03 14:14:43.294000+00:00,70797,,,2023-01-03,,188,35
36743,134083,2023-01-03 14:35:08.413000+00:00,2023-01-03 14:35:08.663000+00:00,,,,2023-01-03,1,150,2
36744,,2023-01-03 14:35:08.418000+00:00,2023-01-03 14:35:08.734000+00:00,70754,,,2023-01-03,,150,35
36745,88242,2023-01-03 15:12:52.271000+00:00,2023-01-03 15:12:52.602000+00:00,,,,2023-01-03,1,120,3
36746,,2023-01-03 15:12:52.276000+00:00,2023-01-03 15:12:52.685000+00:00,30786,,,2023-01-03,,120,35
36748,,2023-01-03 15:26:25.427000+00:00,2023-01-03 15:26:25.427000+00:00,,,,2023-01-03,,120,
36747,133915,2023-01-03 15:26:25.422000+00:00,2023-01-03 15:26:25.783000+00:00,,,,2023-01-03,2,120,2
36750,,2023-01-03 15:45:02.723000+00:00,2023-01-03 15:45:02.723000+00:00,,,,2023-01-03,,200,
36749,133673,2023-01-03 15:45:02.717000+00:00,2023-01-03 15:45:03.190000+00:00,,,,2023-01-03,2,200,2
36789,100077,2023-01-03 20:34:00.597000+00:00,2023-01-03 20:34:00.845000+00:00,,,,2023-01-03,5,60,2
36773,131300,2023-01-03 18:59:35.424000+00:00,2023-01-03 18:59:35.718000+00:00,,,,2023-01-03,1,200,2
36751,134102,2023-01-03 15:47:29.565000+00:00,2023-01-03 15:47:29.922000+00:00,,,,2023-01-03,2,300,2
36752,,2023-01-03 15:47:29.569000+00:00,2023-01-03 15:47:29.986000+00:00,70764,,,2023-01-03,,300,35
36774,,2023-01-03 18:59:35.428000+00:00,2023-01-03 18:59:35.817000+00:00,69544,,,2023-01-03,,200,35
36776,,2023-01-03 19:03:45.160000+00:00,2023-01-03 19:03:45.160000+00:00,,,,2023-01-03,,300,
36791,107609,2023-01-03 20:34:00.605000+00:00,2023-01-03 20:34:00.898000+00:00,,,,2023-01-03,1,60,2
36753,133806,2023-01-03 15:57:54.452000+00:00,2023-01-03 15:57:54.760000+00:00,,,,2023-01-03,3,180,2
36754,,2023-01-03 15:57:54.456000+00:00,2023-01-03 15:57:54.822000+00:00,70686,,,2023-01-03,,180,35
36775,133859,2023-01-03 19:03:45.155000+00:00,2023-01-03 19:03:45.545000+00:00,,,,2023-01-03,2,300,2
36763,133686,2023-01-03 17:47:39.752000+00:00,2023-01-03 17:47:40.042000+00:00,,,,2023-01-03,1,60,2
36764,,2023-01-03 17:47:39.755000+00:00,2023-01-03 17:47:40.105000+00:00,22747,,,2023-01-03,,60,35
36765,133684,2023-01-03 17:47:39.759000+00:00,2023-01-03 17:47:40.166000+00:00,,,,2023-01-03,1,60,2
36755,133240,2023-01-03 15:58:52.382000+00:00,2023-01-03 15:58:52.684000+00:00,,,,2023-01-03,4,240,2
