revisions_ID,Mockup_ID,Version_number,Completed_at,Created_at,Updated_at,Packaging_ID,Product_ID,Sock_pair_ID,Base_version,Read_at
21736,133806,3,2023-01-03 15:43:58.337000+00:00,2023-01-01 21:34:49.498000+00:00,2023-01-03 15:43:58.338000+00:00,,,,3,
21810,134477,1,2023-01-04 18:13:20.532000+00:00,2023-01-03 23:59:17.506000+00:00,2023-01-04 18:13:20.532000+00:00,,,,1,
21750,133944,2,2023-01-03 17:17:10.792000+00:00,2023-01-03 17:08:33.855000+00:00,2023-01-03 17:17:10.793000+00:00,,,,2,
21782,133993,3,2023-01-03 21:02:49.165000+00:00,2023-01-03 20:51:33.167000+00:00,2023-01-03 21:02:49.166000+00:00,,,,3,
21806,134492,1,2023-01-04 17:58:43.091000+00:00,2023-01-03 23:48:34.490000+00:00,2023-01-04 17:58:43.091000+00:00,,,,1,
21786,134428,1,,2023-01-03 21:50:03.746000+00:00,2023-01-04 17:41:47.675000+00:00,,,,1,
21758,58625,1,2023-01-05 00:20:14.880000+00:00,2023-01-03 18:13:39.799000+00:00,2023-01-05 00:20:14.880000+00:00,,,,1,
21791,134444,1,2023-01-03 22:37:37.489000+00:00,2023-01-03 22:16:04.963000+00:00,2023-01-03 22:37:37.489000+00:00,,,,1,
21794,125295,1,2023-01-03 22:44:21.730000+00:00,2023-01-03 22:37:19.940000+00:00,2023-01-03 22:44:21.730000+00:00,,,,1,
21748,133911,1,2023-01-03 17:13:40.366000+00:00,2023-01-03 17:03:31.684000+00:00,2023-01-03 17:13:40.366000+00:00,,,,1,
21808,134494,1,2023-01-04 00:09:47.263000+00:00,2023-01-03 23:51:10.718000+00:00,2023-01-04 00:09:47.264000+00:00,,,,1,
21781,77035,1,,2023-01-03 20:30:44.330000+00:00,2023-01-03 23:58:44.904000+00:00,,,,1,
21809,133790,1,,2023-01-03 23:57:01.429000+00:00,2023-01-04 23:11:50.133000+00:00,,,,1,
21785,,,2023-01-03 22:07:03.397000+00:00,2023-01-03 21:41:01.332000+00:00,2023-01-03 22:07:03.397000+00:00,70751,,,,
21753,133341,2,2023-01-03 21:09:55.286000+00:00,2023-01-03 17:36:54.798000+00:00,2023-01-03 21:10:01.395000+00:00,,,,2,
21774,24598,4,,2023-01-03 19:49:37.603000+00:00,2023-01-03 23:20:33.621000+00:00,,,,4,
21764,134033,1,2023-01-03 22:03:32.643000+00:00,2023-01-03 18:46:08.240000+00:00,2023-01-03 22:03:32.644000+00:00,,,,1,
21760,133671,1,2023-01-03 18:51:07.203000+00:00,2023-01-03 18:18:58.733000+00:00,2023-01-03 18:51:07.204000+00:00,,,,1,
21787,134428,1,,2023-01-03 21:54:09.514000+00:00,2023-01-04 17:41:50.173000+00:00,,,,1,
