ID,Mockup ID,Version number,Completed at,Created at,Updated at,Packaging ID,Product ID,Sock pair ID,Base version,Read at
21736,133806.0,3.0,2023-01-03T15:43:58.337Z,2023-01-01T21:34:49.498Z,2023-01-03T15:43:58.338Z,,,,3.0,
21810,134477.0,1.0,2023-01-04T18:13:20.532Z,2023-01-03T23:59:17.506Z,2023-01-04T18:13:20.532Z,,,,1.0,
21750,133944.0,2.0,2023-01-03T17:17:10.792Z,2023-01-03T17:08:33.855Z,2023-01-03T17:17:10.793Z,,,,2.0,
21782,133993.0,3.0,2023-01-03T21:02:49.165Z,2023-01-03T20:51:33.167Z,2023-01-03T21:02:49.166Z,,,,3.0,
21806,134492.0,1.0,2023-01-04T17:58:43.091Z,2023-01-03T23:48:34.490Z,2023-01-04T17:58:43.091Z,,,,1.0,
21786,134428.0,1.0,,2023-01-03T21:50:03.746Z,2023-01-04T17:41:47.675Z,,,,1.0,
21758,58625.0,1.0,2023-01-05T00:20:14.880Z,2023-01-03T18:13:39.799Z,2023-01-05T00:20:14.880Z,,,,1.0,
21791,134444.0,1.0,2023-01-03T22:37:37.489Z,2023-01-03T22:16:04.963Z,2023-01-03T22:37:37.489Z,,,,1.0,
21794,125295.0,1.0,2023-01-03T22:44:21.730Z,2023-01-03T22:37:19.940Z,2023-01-03T22:44:21.730Z,,,,1.0,
21748,133911.0,1.0,2023-01-03T17:13:40.366Z,2023-01-03T17:03:31.684Z,2023-01-03T17:13:40.366Z,,,,1.0,
21808,134494.0,1.0,2023-01-04T00:09:47.263Z,2023-01-03T23:51:10.718Z,2023-01-04T00:09:47.264Z,,,,1.0,
21781,77035.0,1.0,,2023-01-03T20:30:44.330Z,2023-01-03T23:58:44.904Z,,,,1.0,
21809,133790.0,1.0,,2023-01-03T23:57:01.429Z,2023-01-04T23:11:50.133Z,,,,1.0,
21785,,,2023-01-03T22:07:03.397Z,2023-01-03T21:41:01.332Z,2023-01-03T22:07:03.397Z,70751.0,,,,
21753,133341.0,2.0,2023-01-03T21:09:55.286Z,2023-01-03T17:36:54.798Z,2023-01-03T21:10:01.395Z,,,,2.0,
21774,24598.0,4.0,,2023-01-03T19:49:37.603Z,2023-01-03T23:20:33.621Z,,,,4.0,
21764,134033.0,1.0,2023-01-03T22:03:32.643Z,2023-01-03T18:46:08.240Z,2023-01-03T22:03:32.644Z,,,,1.0,
21760,133671.0,1.0,2023-01-03T18:51:07.203Z,2023-01-03T18:18:58.733Z,2023-01-03T18:51:07.204Z,,,,1.0,
21787,134428.0,1.0,,2023-01-03T21:54:09.514Z,2023-01-04T17:41:50.173Z,,,,1.0,
21762,134338.0,1.0,,2023-01-03T18:31:01.552Z,2023-01-03T22:41:38.293Z,,,,1.0,
21756,133944.0,2.0,2023-01-03T19:20:20.709Z,2023-01-03T17:46:44.018Z,2023-01-03T19:20:30.650Z,,,,2.0,
21771,134360.0,1.0,2023-01-03T20:02:37.079Z,2023-01-03T19:38:39.050Z,2023-01-03T20:02:37.079Z,,,,1.0,
21767,133873.0,1.0,2023-01-03T19:09:17.943Z,2023-01-03T18:53:04.314Z,2023-01-03T19:09:17.943Z,,,,1.0,
21768,132373.0,1.0,,2023-01-03T19:11:10.137Z,2023-01-03T23:00:01.480Z,,,,1.0,
21793,133959.0,1.0,,2023-01-03T22:27:51.101Z,2023-01-04T17:54:49.506Z,,,,1.0,
21752,133944.0,2.0,2023-01-03T17:42:47.792Z,2023-01-03T17:32:25.272Z,2023-01-03T17:42:47.793Z,,,,2.0,
21789,134041.0,3.0,2023-01-03T22:33:43.877Z,2023-01-03T22:08:43.378Z,2023-01-03T22:33:43.877Z,,,,3.0,
21749,,,2023-01-03T17:15:24.333Z,2023-01-03T17:06:36.260Z,2023-01-03T17:15:24.333Z,70080.0,,,,
21761,129046.0,1.0,,2023-01-03T18:26:58.840Z,2023-01-04T19:39:00.039Z,,,,1.0,
21763,134233.0,1.0,2023-01-03T21:35:56.313Z,2023-01-03T18:36:28.292Z,2023-01-03T21:35:56.314Z,,,,1.0,
21766,134285.0,1.0,2023-01-03T19:10:57.260Z,2023-01-03T18:49:58.676Z,2023-01-03T19:10:57.260Z,,,,1.0,
21765,134345.0,1.0,2023-01-03T19:06:26.717Z,2023-01-03T18:47:51.130Z,2023-01-03T19:06:26.717Z,,,,1.0,
21777,134239.0,1.0,2023-01-04T17:46:22.623Z,2023-01-03T20:19:23.071Z,2023-01-04T17:46:22.623Z,,,,1.0,
21737,134141.0,1.0,2023-01-03T15:47:15.758Z,2023-01-03T15:27:14.444Z,2023-01-03T15:47:15.758Z,,,,1.0,
21788,109500.0,1.0,2023-01-03T22:31:05.199Z,2023-01-03T21:57:34.873Z,2023-01-03T22:31:05.199Z,,,,1.0,
21796,,,2023-01-03T23:09:44.540Z,2023-01-03T22:52:31.653Z,2023-01-03T23:09:44.540Z,69680.0,,,,
21769,134033.0,1.0,2023-01-03T22:03:30.055Z,2023-01-03T19:16:57.439Z,2023-01-03T22:04:28.774Z,,,,1.0,
21776,119530.0,1.0,2023-01-03T20:39:36.054Z,2023-01-03T20:12:18.917Z,2024-02-13T16:53:17.821Z,,,,1.0,2024-02-13T16:53:17.820Z
